gender,income,credit_score,loan_approved
0,62665.51501399881,579.6841268164083,0
1,54969.834619348476,645.8447213685653,1
1,80702.96776508944,574.7639812984498,1
1,84158.78617925735,688.0027981844801,1
0,68396.8567189656,654.1219876467252,0
0,76211.71088331932,577.1224250267535,0
0,72508.83231823356,634.5395461475068,0
1,81887.70118842655,612.3921797204708,1
1,73947.51432812029,665.958725520959,1
1,50085.58599726013,717.0225223011572,1
0,66444.27328698878,556.2413765177128,0
1,78115.31530744667,655.7513039573709,1
1,79073.6825579306,641.993360221668,1
0,40848.77136269536,683.5670038225232,0
0,43784.151893876064,660.6598314118845,0
0,75797.29279999355,612.401533413059,0
0,59406.672692150176,634.0473032166691,0
1,85222.51046058937,610.1987071598255,1
0,60424.77564195692,703.8003569299299,0
0,60446.34209243618,651.0655824335971,0
1,89074.25708963997,745.0595342876504,1
0,52259.32907673939,646.966959309269,1
0,61441.811654114754,614.5796616544768,0
0,53065.87066942436,574.3142803693586,0
0,53482.55658851527,559.8430161872027,0
1,70362.41814797041,570.7932028497255,0
0,63332.00657450569,663.3563325505742,0
1,67818.77067504784,675.4362511614967,1
1,93836.34188360281,570.9404648983933,1
0,46580.89046670744,694.7519157038058,0
1,72196.92533757961,625.846947415828,1
0,53404.034125887374,657.3396505992774,0
0,81704.668265306,730.6110314127712,1
1,77948.32164767361,694.8419657932766,1
1,90477.66809202952,636.5734676047084,1
1,52716.59440444542,605.4403887292357,1
0,64005.75398803888,542.4092299335348,0
0,73344.46193435155,614.042334037879,0
1,76234.25983913137,639.4434880586152,1
0,75982.20562598026,600.6410236424408,0
0,52240.673248494415,643.4371516453848,0
0,81140.2116027837,653.8425941479384,0
0,94483.47185428876,638.7572009095961,0
1,69557.42159340512,617.499870958827,0
0,53317.462178988426,658.4327335983364,0
1,96800.7671567655,672.0970324784705,1
0,83693.58218596068,595.4800461278577,0
1,67157.09959270098,720.5466189873135,1
1,68697.19774356214,645.0705933857869,1
0,55773.230867092396,650.9424811472423,0
1,54833.24233448584,685.4107211628278,0
1,61220.22080273703,661.6608065631751,1
1,59937.88849871898,697.6568316956623,1
1,63483.03652343807,664.3562082600912,1
1,74479.72668919829,619.3781312679781,1
1,78513.2209880478,668.075176260305,1
0,83257.50739221115,592.8136896339669,1
0,45024.68938891814,655.4279852888261,0
0,74764.83597714876,648.338500467777,1
0,56790.16733661736,639.594157136373,0
0,59258.044355213504,643.5731244280535,0
0,70122.29238249906,555.9075477251181,0
1,58159.16967656552,622.5637546129519,1
0,65736.14619276076,654.6422450570558,0
0,62496.78312319584,657.99281959987,0
1,82386.76896012224,598.6162429537021,1
0,64337.52965861727,713.285392043235,0
1,111829.50209866342,606.691257589275,1
0,50433.900236230256,698.4728600263369,0
1,67035.04567497273,671.3597180935842,1
1,65652.89210362853,617.6886345078099,1
0,51667.843212596184,738.7655446304756,0
0,50439.19309040223,590.318158412176,0
1,92835.24796661327,695.9577086805001,1
1,96307.56371984782,700.0291159021489,1
